season,season_type,player_id,player_name,player_display_name,position,position_group,headshot_url,games,recent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
2024,REG,00-0023459,A.Rodgers,Aaron Rodgers,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jdcb4nomlc4rd6k5l6to",17,NYJ,368,584,3897,28,11,40,302,5,2,4014,2119,192,10.1309934533945,2,0.97085201793722,0.059078219903249,22,107,0,0,0,7,4.28056435993379,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,256.58,256.58
2024,REG,00-0024243,M.Lewis,Marcedes Lewis,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ppq07tipygpftz5csipx",1,CHI,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,1,1,2,0,0,0,1,1,1,0.0646047429181635,0,2,0.0384615384615385,0.00970873786407767,0.0644884241971621,0,0.2,1.2
2024,REG,00-0026158,J.Flacco,Joe Flacco,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yxvyoeojkif7tnfviamc",7,IND,162,248,1761,12,7,18,123,3,3,2215,651,87,2.99938587216687,0,0.795033860045147,0.0801539626553393,9,26,0,1,1,2,-7.00213673635153,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,99.04,99.04
2024,REG,00-0026300,J.Johnson,Josh Johnson,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gbaye18gptzb1jpyswv8",4,BAL,2,3,17,0,0,1,5,0,0,53,2,1,-1.80973551096395,0,0.320754716981132,,4,1,0,0,0,0,-3.56283131003147,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0.78,0.78
2024,REG,00-0026498,M.Stafford,Matthew Stafford,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xdlnnbapdbk8trxqlasu",16,LA,340,517,3762,20,8,28,213,4,2,3869,1726,176,34.734750099594,0,0.972344275006462,0.0868955005466832,30,41,0,2,0,10,-3.01184265889613,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,214.58,214.58
2024,REG,00-0027973,A.Dalton,Andy Dalton,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/az1zo7fl2tozg50tgs0d",6,CAR,106,160,989,7,6,7,37,1,0,1062,459,50,-18.0958913262782,0,0.931261770244821,0.0282681455905481,11,34,0,0,0,2,-3.43167459384309,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,58.96,58.96
2024,REG,00-0028118,T.Taylor,Tyrod Taylor,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xk8e04jdsvigd6fky3uy",2,NYJ,17,22,119,3,0,0,0,0,0,88,68,9,11.9040861275571,1,1.35227272727273,0.274118107686231,3,13,0,1,0,0,-0.676485965115717,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,20.06,20.06
2024,REG,00-0028872,J.Hekker,Johnny Hekker,P,SPEC,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bcl8kjfwubicyywpxfny",2,CAR,0,2,0,0,0,0,0,0,0,28,0,0,-5.7120347302407,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0
2024,REG,00-0028899,R.McLeod,Rodney McLeod,FS,DB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ettne7rdpnkozuyhx8be",1,CLE,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,1,6,6
2024,REG,00-0029263,R.Wilson,Russell Wilson,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/u36rhg0md8ey3b4khbre",11,PIT,214,336,2482,16,5,33,219,3,2,2668,1122,112,-0.964512999121598,0,0.930284857571214,0.0837515028379847,43,155,2,2,2,16,-7.59418953425484,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,172.78,172.78
2024,REG,00-0029604,K.Cousins,Kirk Cousins,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yt6n07jezvfmcsoq0j13",14,ATL,303,453,3508,18,16,28,201,7,2,3374,1687,163,22.0813880221903,0,1.03971547125074,0.0840490366894471,23,0,0,5,0,2,-16.7720963966299,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,176.32,176.32
2024,REG,00-0029692,B.Anger,Bryan Anger,P,SPEC,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kx1m6byniti4tkeiwkqk",2,DAL,1,2,4,0,0,0,0,0,0,11,0,0,-5.68702280893922,0,0.363636363636364,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0.16,0.16
